example_id,customer_tweet_id,customer_text,human_label,escalate_gold
APPLE-GOLD-001,1679155,@AppleSupport does the home screen rotate on a iPhone X,2,
APPLE-GOLD-002,808213,"@AppleSupport WiFi &amp; calling broken, 50% increase in battery drain, iOS freezes. Seriously? Did y'all bother to do any tests at all?",7,
APPLE-GOLD-003,582697,"@AppleSupport iOS 11.2 has changed my home screen text to black, which is unreadable against the background image I've used for the past 6 years. How do I revert this?",2,
APPLE-GOLD-004,937398,@342218 @115858 Amen. Any fix for the battery drain?,1,
APPLE-GOLD-005,208610,"@AppleSupport real issues with making phone calls since the update. They can’t hear me I can’t hear them. Battery replaced, still going on!",7,
APPLE-GOLD-006,1136074,@AppleSupport Just received the phone through @115725 it immediately started jumping from screen to screen hitting numbers. Thought it was because Of restore but has cont..,2,
APPLE-GOLD-007,990757,@AppleSupport why my iPhone battery dying so fast ????,1,
APPLE-GOLD-008,1025645,@AppleSupport how about you fix the battery with the iOS 11 I have an iPhone SE and ever since I did the upgrade it’s horrible.,2,
APPLE-GOLD-009,554910,Hey @AppleSupport I literally watched as my battery on my iPhone6 dropped 60% to 40% because I bought and downloaded and album. I hope 11.2 fixes this.,2,
APPLE-GOLD-010,1083939,tf is up with my battery @AppleSupport,1,
APPLE-GOLD-011,152956,I’m getting a “Service Battery” warning on my 17’ MacBook Pro Retina Mid2012  @AppleSupport what say you? https://t.co/5RFkzQxt5r,1,
APPLE-GOLD-012,2276930,"@AppleSupport So I’ve had a look at https://t.co/ACdWGNywii, it’s not showing all my photos. My iPhone it but it seems to have broken albums down between iPhone photos and ones I’ve added from my camera.",4,
APPLE-GOLD-013,1214528,Battery gets worse ever update smd @115858,2,
APPLE-GOLD-014,306963,@AppleSupport why does my iPhone 7 lock screen keep going blank?! I keep having to restart. #annoyed,2,
APPLE-GOLD-015,2479011,@AppleSupport Thanks for making it damn near impossible to move and/or delete apps off the home screen. Also your automatic WiFi turn on is bullshit. Getting to the point where I hate apple. Last iPhone I ever buy.,5,
APPLE-GOLD-016,2683894,My battery literally dropped from 100% to 18%. Wtf @115858,1,
APPLE-GOLD-017,1527766,FML. @115858 update has shoot my battery life to pieces. https://t.co/gr0B9Rwryb,2,
APPLE-GOLD-018,2555312,"New @115858 operating system is somehow eating TONS of battery life and switching between apps that supposedly aren’t even open. Anyone have suggestions for managing these problems? No bluetooth, apps closed unless being used.",2,
APPLE-GOLD-019,2605766,@AppleSupport Using the charger that came with my phone,OTHER_OR_AMBIGUOUS,
APPLE-GOLD-020,1982061,"@115858 bought iphone6 last week.battery back uppathetic,I'm charging every 4hous
net not working.service provider says it's phone problem",7,
APPLE-GOLD-021,2427317,"@115858 @AppleSupport Ive had to hard reset my phone 7 times to get my screen to respond! My battery is shit now and dies so easily! Thn when it DOES die, it takes forever to get it to come on AND function correctly! GET IT TOGETHER! IMMEDIATELY!",1,
APPLE-GOLD-022,1785780,@AppleSupport Battery is draining like android,1,
APPLE-GOLD-023,2420311,"It is very difficult to get Genuine Iphone Charger or Headphone, I need original IPhone charger please suggest  @AppleSupport",8,
APPLE-GOLD-024,2499325,"@AppleSupport I was on cloud nine with my iPhone battery life, then I updated it last week and now I’m on nine percent all the time. Please fix. #annoyed",2,
APPLE-GOLD-025,1203402,New #iOS draining battery? @AppleSupport,2,
