conversation_id,customer_tweet_id,customer_text,support_tweet_id,support_text,customer_author_id,customer_created_at,support_created_at
apple_thread_006678,363663,"@AppleSupport Howdy. Today I started getting a ""No Sim Card Installed"" message on my iPhone 6. I'm running 9.2.1
???",363661,@202183 We would love to help fix this. Follow these steps and DM us if you need further assistance: https://t.co/UTP2qBzCA0,202183,Fri Mar 04 01:19:41 +0000 2016,Fri Mar 04 20:44:00 +0000 2016
apple_thread_081233,2840103,@AppleSupport Awrite av got a problem with my iPhone,2840101,"@790357 We’re happy to help with your iPhone. DM us the model, iOS
 Version and the issue and we can go from there.",790357,Mon Apr 04 22:46:28 +0000 2016,Mon Apr 04 23:03:31 +0000 2016
apple_thread_025471,1254082,@AppleSupport how do I delete apps if this is what shows when I press and hold an app https://t.co/R47Tz6nsA7,1254081,@52822 We can take a look at it. Which device and what version of iOS are you currently using?,414170,Sat Oct 01 01:54:03 +0000 2016,Sat Oct 01 02:03:26 +0000 2016
apple_thread_025471,1254077,"@AppleSupport iPhone 7, 10.0.2",1254073,"@52822 In iOS 10, touch and hold the app lightly until it wiggles. If the app doesn't wiggle, make sure that you're not pressing too hard.",414170,Sat Oct 01 02:04:23 +0000 2016,Sat Oct 01 02:34:28 +0000 2016
apple_thread_025471,1254076,"@AppleSupport oh wow!! I didn't know the phone could tell how hard I was pushing down. That's amazing, thanks!",1254078,@52822 We're so glad to have helped you.,414170,Sat Oct 01 02:36:50 +0000 2016,Sat Oct 01 02:47:26 +0000 2016
apple_thread_082767,2921551,@AppleSupport Is family shared iCloud storage a functionality I can't find or is this something that doesn't exist (yet)?,2921550,@808566 We'll happy to work with you and answer your questions. Please DM us where we have more room. https://t.co/GDrqU22YpT,808566,Thu Oct 06 09:25:20 +0000 2016,Thu Oct 06 13:44:00 +0000 2016
apple_thread_058220,2058732,@AppleSupport My icloud account has been locked for security reasons. Even my Apple ID is locked. I can't receive my confirmation code.,2058730,@608890 We're happy to assist. This article can help you to unlock your account: https://t.co/HH37urdbz9 DM us with any questions. https://t.co/GDrqU22YpT,608890,Sun Nov 06 07:35:52 +0000 2016,Sun Nov 06 14:59:31 +0000 2016
apple_thread_003062,185843,"So not only am I locked out of my iTunes, but this update is also killing my battery 😖😡 #iphoneproblems why @115858 why?!?! 👺👺",185842,@159710 We're here for you. Which iPhone and software version are you using?,159710,Tue Jan 03 04:20:59 +0000 2017,Tue Jan 03 13:11:29 +0000 2017
apple_thread_081996,2889985,"@104870 @AppleSupport Hi, is it possible to link my Hive lights/hub to Apple HomeKit?",2889983,"@801248 Hi! To see a list of accessories that work with Apple HomeKit, click here: https://t.co/5OAsDC2ye7",801248,Tue Jan 10 21:38:36 +0000 2017,Tue Jan 10 21:55:00 +0000 2017
apple_thread_019973,989648,@AppleSupport my touch bar isn't working! https://t.co/Exw41Bcg2p,989647,@354437 We want your Mac to always work as expected. Does the Touch Bar work in any apps outside of Messages?,354437,Sat Jan 14 21:59:03 +0000 2017,Sat Jan 14 22:11:26 +0000 2017
apple_thread_019973,989646,@AppleSupport yes it works in my other programs,989645,@354437 Let's try force-closing Messages using the steps here: https://t.co/qyCtTUs7VU and then reopening Messages.,354437,Sat Jan 14 22:46:59 +0000 2017,Sat Jan 14 23:05:00 +0000 2017
apple_thread_019973,989644,@AppleSupport ok that settled it for now. Thank you for your assistance 🤳🏾,989643,@354437 You're welcome. If you have any other questions feel free to reach out.,354437,Sun Jan 15 17:42:32 +0000 2017,Sun Jan 15 17:48:00 +0000 2017
apple_thread_029959,1468297,"Hei @AppleSupport, I want complain about @118936, why my account when download the app from my iPhone or Macbook very slow?",1468295,@460805 Downloads are dependent on the network connection. Are you doing this over Wi-Fi or cellular data?,460805,Sat Jan 21 00:39:48 +0000 2017,Sat Jan 21 00:43:27 +0000 2017
apple_thread_029959,1468296,@applesupport I was used Wi-Fi connection,1468298,@460805 Thank you. Have you tried without Wi-Fi or on another network?,460805,Sat Jan 21 13:25:41 +0000 2017,Sat Jan 21 16:01:56 +0000 2017
apple_thread_029959,1468299,"@applesupport I tried celullar data network in iPhone, but can’t solved the problem. My ID is __email__, can you help me?",1468300,@460805 Can you tell us if any other downloads or browsing speeds are slow?  Or is it only when using the App Store?,460805,Sun Jan 22 07:22:06 +0000 2017,Sun Jan 22 14:21:27 +0000 2017
apple_thread_004811,278058,I hate @115858 why won't your products cooperate,278056,@182400 We'll assist you any way we can. What's going on?,182400,Fri Feb 10 20:44:02 +0000 2017,Fri Feb 10 20:55:00 +0000 2017
apple_thread_019973,989642,@AppleSupport hey my touch bar isn't working again. In iTunes this time https://t.co/5GCRIP35Gw,989641,@354437 We're here to help. Is it only having issues with iTunes? What version of macOS are you currently running?,354437,Wed Feb 15 23:04:28 +0000 2017,Wed Feb 15 23:15:00 +0000 2017
