customer_tweet_id,customer_text,human_label
1095896,"Hi @AppleSupport. What am I missing here, why can’t I downgrade? Why is “Done” greyed out. Thanks. https://t.co/rNblg7ZuF9",OTHER_OR_AMBIGUOUS
1986881,"Yo, @AppleSupport. You see the problem here? Pretty sure I️ am not the only one.",OTHER_OR_AMBIGUOUS
2179522,@115858 what’s wrong with iOS 11.1.2 my iPhones’ getting hotter 😡,2
798873,@AppleSupport Having a issue w/autocorrect putting periods in dumb places reset the keyboard several times - plz help 😩,OTHER_OR_AMBIGUOUS
678659,@281925 @AppleSupport Soooo true... few times a day it won’t even unlock unless I talk to Siri first. Sometimes only restart helps 😫,2
559166,my phone keeps restarting itself and it’s starting to really piss me off. @115858,OTHER_OR_AMBIGUOUS
819546,"Twitterji, prosim pomagajte! 🆘
Kdo v LJ popravlja te polnilce?
Hvala za RT @115858 🔫 https://t.co/m47VzmBLOS",OTHER_OR_AMBIGUOUS
2050980,@156922 @applesupport I don't even have ios11 I still have 10 &amp; im having an issue,OTHER_OR_AMBIGUOUS
181331,"@115858 I hate your new iOS... opening from 1 app to another now has a lag time, switching keyboards automatically, &amp; a lot more crap 😤",OTHER_OR_AMBIGUOUS
1527634,@117735 @115858 reaaaally bad first impression if we can't even activate our phones...pissed!,OTHER_OR_AMBIGUOUS
2754715,"@AppleSupport Well unless you have more powers than chat on Apple support, I doubt there is. Would be really nice if you gave me a loan Mac whilst this one gets repaired considering how many times it’s gone wrong and I’ve been without it, but apparently you don’t do that.",OTHER_OR_AMBIGUOUS
1892711,@115858 why do you guys put out a new update just for it to constantly freeze my phone....,2
944222,My headset jack doesn't work anymore wtf it was working perfectly fine just yesterday @115858  wth,OTHER_OR_AMBIGUOUS
633844,@115858 can we get group msg read receipts next update?,2
556203,"@AppleSupport ios11.1.2 crashes every 2 min with the spinning wheel!this is a shame...piece of shit!
Please bring Steve Jobs seriously lol",OTHER_OR_AMBIGUOUS
1201346,"@115858 ios11 needs lot of improvements, m not able to download anything from apple store🙇🏻‍♀️ #apple very disappointed 😔",OTHER_OR_AMBIGUOUS
940629,"Problem with Xbox, I chat with @XboxSupport &amp; we fix it; Problem with @115858 iOS: my product doesn’t qualify for complimentary support. #RIP",2
