example_id,system,customer_text,draft_reply,human_relevance,human_groundedness,human_tone,human_overall,human_notes
APPLE-GOLD-163,NO_RAG,@AppleSupport Thanks guys. Was out coaching kids. Went out on a full charge. Phone in pocket. 1hr 30min. Good job I didn't need it to phone a parent who had forgotten kid because I checked the time and it was on 15% then my alarm for end of session took it 0%. #timeforanewphone,"I apologize for the inconvenience, but I need more information to help you. Can you please provide the order number or the tweet ID associated with your concern so I can look into it further?",2,3,3,2,"Customer is venting/complaining, not really asking a question; reply misses the tone and asks for order/tweet ID unnecessarily."
APPLE-GOLD-163,RAG,@AppleSupport Thanks guys. Was out coaching kids. Went out on a full charge. Phone in pocket. 1hr 30min. Good job I didn't need it to phone a parent who had forgotten kid because I checked the time and it was on 15% then my alarm for end of session took it 0%. #timeforanewphone,"We're glad to hear that your iPhone is still going strong! However, we can't help with the situation with your child's forgotten pickup time. Would you like to discuss this further or have any other questions about your iPhone?",2,2,3,2,Misreads the tweet - invents a 'forgotten pickup' scenario that isn't what the customer described; tone is oddly upbeat given the complaint.
APPLE-GOLD-025,NO_RAG,New #iOS draining battery? @AppleSupport,"Thank you for reaching out to Apple Support. I'm sorry to hear that your new iOS is draining your battery. Can you please provide more details about the issue, such as when it started, how often it happens, and what kind of usage you're doing with your device?",4,4,5,4,"Polite, acknowledges the issue, asks reasonable clarifying questions."
APPLE-GOLD-025,RAG,New #iOS draining battery? @AppleSupport,"Hi there, We're sorry to hear that your new iOS is draining your battery. Let's take a look together. Can you please DM us a bit more detail about what's happening with your battery, such as the exact iOS version you're running and any other relevant information? We'll do our best to assist you. Best, Apple Support",4,4,5,4,"Similar to NO_RAG - polite ask for iOS version via DM, no unsupported claims."
APPLE-GOLD-091,NO_RAG,@AppleSupport can't sign in2 iTunes Store becuz Apple ID email does not exist Yahoo deleted it for inactivity yrs ago n phone logged me out?,"Hi, sorry to hear that you're having trouble signing in to the iTunes Store. Can you please provide more details about the issue? What steps did you take before the login failed, and have you tried resetting your Apple ID password or contacting Yahoo to see if they can help you recover your account?",4,4,5,4,"Relevant, suggests resetting Apple ID password or contacting Yahoo - reasonable actionable advice."
APPLE-GOLD-091,RAG,@AppleSupport can't sign in2 iTunes Store becuz Apple ID email does not exist Yahoo deleted it for inactivity yrs ago n phone logged me out?,"Hi there, Sorry to hear that you're having trouble signing in to the iTunes Store. We can try to help you resolve this issue. Can you please tell us more about what happened? For example, did you try to sign in using the same email address you used to create your Apple ID? We'll do our best to assist you. Best, Apple Support",4,4,5,4,Relevant follow-up question about the email used to create the Apple ID.
APPLE-GOLD-118,NO_RAG,"@AppleSupport also, I wasn't able to restore anything from my old device to my new one!!! How great!!",I apologize for the inconvenience you're experiencing with restoring data from your old device to your new one. I'd be happy to help you further. Can you please provide more details about the error message you received or the steps you took when trying to restore your data?,4,4,4,4,Acknowledges the restore problem and asks for error details - appropriately relevant.
APPLE-GOLD-118,RAG,"@AppleSupport also, I wasn't able to restore anything from my old device to my new one!!! How great!!","Hi there, sorry to hear you're having trouble restoring data from your old device to your new one. Can you please DM us with more details about the issue, such as the error message you're seeing and what you've tried so far? We'll do our best to assist you.",4,4,4,4,"Same approach via DM, appropriately relevant, no unsupported claims."
APPLE-GOLD-088,NO_RAG,@AppleSupport I don’t want my kid downloading a ton of free apps but I don’t want to have to put my password in every 2 minutes. 😠,"I understand your concern about wanting to limit app downloads while still maintaining security. Can you please provide more details about the issue you're experiencing, such as the specific app or device you're using? Additionally, have you checked the 'Screen Time' settings on your device to see if you can set up restrictions for your child?",5,4,4,5,"Directly points to Screen Time settings, a real and correct feature for this exact use case - good actionable advice."
APPLE-GOLD-088,RAG,@AppleSupport I don’t want my kid downloading a ton of free apps but I don’t want to have to put my password in every 2 minutes. 😠,"Hi there, I understand your concern about wanting to limit app downloads on your kid's device while still being able to access free apps without frequent password prompts. Can you please provide more details about the issue you're experiencing, such as the specific apps that are downloading and the iOS version you're running? This will help me better assist you.",3,4,4,3,"Only asks for more detail, no actionable suggestion like Screen Time - weaker than the NO_RAG version for this case."
APPLE-GOLD-160,NO_RAG,@AppleSupport how long does it take for u ups to refund paypal from canceled order,"I apologize for the inconvenience. Unfortunately, I don't have specific information on the refund process for PayPal from canceled orders. To better assist you, could you please provide the order number or the specific order details from your canceled transaction so I can look into this further?",4,4,4,4,"Honest that it doesn't have specific refund timing info, asks for order details to investigate."
APPLE-GOLD-160,RAG,@AppleSupport how long does it take for u ups to refund paypal from canceled order,"Hi there, we apologize for the inconvenience with your PayPal refund. We can't find any information on a specific refund timeline. Can you please provide more details about your order, such as the order number or the date of cancellation, so we can look into this further?",4,4,4,4,"Same honest approach, asks for order number/cancellation date."
